chord,bar_range,start_bar,end_bar
G:min,1-2,0.5998488245833333,1.9195162386666667
F:maj,2-5,1.94351019165,4.0309841012000005
G:min,5-11,4.054978054183334,10.053466300016666
F:maj,11-13,10.077460253,12.044964397633333
D#:maj,13-17,12.068958350616667,16.171924310766666
G:min,17-19,16.19591826375,18.06744659645
F:maj,19-21,18.091440549433333,20.034950741083332
D#:maj,21-25,20.058944694066664,24.017946936316665
G:min,25-27,24.0419408893,26.057432939900004
F:maj,27-29,26.081426892883336,28.024937084533335
D#:maj,29-33,28.048931037516667,32.05592118573333
G:min,33-35,32.07991513871667,34.02342533036666
F:maj,35-36,34.047419283349996,35.990929475
D#:maj,37-41,36.014923427983334,40.0219135762
G:min,41-42,40.04590752918333,41.98941772083333
F:maj,43-45,42.01341167381666,44.028903724416665
D#:maj,45-49,44.052897677400004,48.05988782561666
G:min,49-50,48.0838817786,49.97940406428334
F:maj,51-53,50.00339801726667,52.042884020849996
D#:maj,53-57,52.06687797383333,56.04987416906667
G:min,57-59,56.07386812205,58.065366219666664
F:maj,59-61,58.08936017265,60.032870364299995
D#:maj,61-64,60.056864317283335,63.99187260655
G:min,65-67,64.01586655953334,66.0793465161
F:maj,67-67,66.10334046908334,66.31928604593334
F:maj,67-69,66.39126790488334,68.02285670775
D#:maj,69-73,68.04685066073333,72.07783476193333
G:min,73-76,72.10182871491666,75.1490607438
F:maj,77-77,76.80464349965,76.99659512351667
D#:maj,78-82,77.0205890765,81.57944014333333
G:min,82-84,81.60343409631668,83.0670652283
D#:maj,84-88,83.09105918128334,87.19402514143333
G:min,88-93,87.21801909441666,92.95257385743332
D#:maj,93-101,92.97656781041667,100.94256020088334
G:min,101-103,100.96655415386667,102.95805225148334
F:maj,103-106,102.98204620446666,105.02153220805
D#:maj,106-109,105.04552616103332,108.83657073239999
G:min,109-112,108.86056468538332,111.02002045388333
F:maj,112-114,111.04401440686667,113.0115185515
D#:maj,114-118,113.03551250448334,117.23445427656667
G:min,118-125,117.25844822955,124.9605071372
D#:maj,125-133,124.98450109018333,132.99848138661667
G:min,134-142,133.02247533960002,141.54032864868333
D#:maj,142-146,141.56432260166665,145.52332484391667
A#:maj,146-148,145.54731879690002,147.65878665943333
C:maj,148-148,147.7067745654,147.89872618926665
C:maj,149-149,148.01869595418333,148.09067781313334
C:maj,149-150,148.66653268473334,149.4343391802
G:min,150-152,149.50632103915,151.25787960693333
