chord,start,end
G:min,1.160997725,3.71519272
F:maj,3.761632629,7.801904712000001
G:min,7.848344621,19.458321871
F:maj,19.50476178,23.312834318
D#:maj,23.359274227,31.300498666
G:min,31.346938575,34.969251477
F:maj,35.015691386,38.777324015
D#:maj,38.823763924,46.486348909
G:min,46.532788818,50.433741174000005
F:maj,50.480181083000005,54.241813712
D#:maj,54.288253621,62.043718424000005
G:min,62.090158333000005,65.851790962
F:maj,65.898230871,69.6598635
D#:maj,69.706303409,77.461768212
G:min,77.508208121,81.26984075
F:maj,81.316280659,85.217233015
D#:maj,85.263672924,93.019137727
G:min,93.065577636,96.734330447
F:maj,96.780770356,100.72816262100001
D#:maj,100.77460253000001,108.483627424
G:min,108.530067333,112.38457978000001
F:maj,112.43101968900001,116.192652318
D#:maj,116.239092227,123.85523730300001
G:min,123.90167721200001,127.895509386
F:maj,127.941949295,128.35990847600002
F:maj,128.499228203,131.657142015
D#:maj,131.703581924,139.505486636
G:min,139.55192654500001,145.449794988
F:maj,148.654148709,149.025667981
D#:maj,149.07210789,157.8956906
G:min,157.942130509,160.774964958
D#:maj,160.821404867,168.762629306
G:min,168.809069215,179.908207466
D#:maj,179.954647375,195.372697163
G:min,195.419137072,199.273649519
F:maj,199.32008942800002,203.267481693
D#:maj,203.313921602,210.651427224
G:min,210.69786713300002,214.877458943
F:maj,214.923898852,218.73197139
D#:maj,218.778411299,226.905395374
G:min,226.951835283,241.859046072
D#:maj,241.905485981,257.416415587
G:min,257.46285549600003,273.949023191
D#:maj,273.9954631,281.658048085
A#:maj,281.70448799400003,285.791199986
C:maj,285.884079804,286.255599076
C:maj,286.487798621,286.627118348
C:maj,287.741676164,289.227753252
G:min,289.367072979,292.757186336
